File version,2
Missing data value,-9999
EOM
Project name,Chowilla and Pike_4.7_NoWeirs
Source version,5.4.0.11476
Latest result run time,2021-03-01 13:24:45
Simulation time,2013-01-02 - 2017-07-01
Field,Units,RunName,ScenarioName,ScenarioInputSetName,Name,Site,ElementName,WaterFeatureType,ElementType,Structure,Custom
EOC
229
49,m^3,,Lumped,,Gauge: Gauge 14: Downstream Flow Volume,Gauge 14,Downstream Flow Volume,Gauge,Node,Downstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
50,m^3,,Lumped,,Gauge: Gauge 14: Storage Volume,Gauge 14,Storage Volume,Gauge,Node,Storage Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
51,m^3.s^-1,,Lumped,,Gauge: Gauge 14: Upstream Flow,Gauge 14,Upstream Flow,Gauge,Node,Upstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
52,m^3,,Lumped,,Gauge: Gauge 14: Upstream Flow Volume,Gauge 14,Upstream Flow Volume,Gauge,Node,Upstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
53,kg.m^-3,,Lumped,,Gauge: River Murray @ Renmark (426628): Downstream Flow Concentration,River Murray @ Renmark (426628),Constituents,Gauge,Node,Constituents@DOC@Downstream Flow Concentration,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
54,kg.m^-3,(4) Lumped,Lumped,Default Input Set,Gauge: River Murray @ Renmark (426628): Downstream Flow Concentration,River Murray @ Renmark (426628),Constituents,Gauge,Node,Constituents@DO@Downstream Flow Concentration,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
55,kg.m^-3,,Lumped,,Gauge: River Murray @ Renmark (426628): Downstream Flow Concentration,River Murray @ Renmark (426628),Constituents,Gauge,Node,Constituents@Refract@Downstream Flow Concentration,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
56,kg.m^-3,,Lumped,,Gauge: River Murray @ US Lock 5 (426512): Downstream Flow Concentration,River Murray @ US Lock 5 (426512),Constituents,Gauge,Node,Constituents@DOC@Downstream Flow Concentration,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
57,kg.m^-3,,Lumped,,Gauge: River Murray @ US Lock 5 (426512): Downstream Flow Concentration,River Murray @ US Lock 5 (426512),Constituents,Gauge,Node,Constituents@Refract@Downstream Flow Concentration,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
58,kg.m^-3,,Lumped,,Gauge: River Murray DS Chowilla Creek: Downstream Flow Concentration,River Murray DS Chowilla Creek,Constituents,Gauge,Node,Constituents@DOC@Downstream Flow Concentration,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
59,kg.m^-3,,Lumped,,Gauge: River Murray DS Chowilla Creek: Downstream Flow Concentration,River Murray DS Chowilla Creek,Constituents,Gauge,Node,Constituents@DO@Downstream Flow Concentration,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
60,kg.m^-3,,Lumped,,Gauge: River Murray DS Chowilla Creek: Downstream Flow Concentration,River Murray DS Chowilla Creek,Constituents,Gauge,Node,Constituents@Refract@Downstream Flow Concentration,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
61,m^3.s^-1,,Lumped,,Minimum Flow Requirement: Pike Minimum Flow: Downstream Flow,Pike Minimum Flow,Downstream Flow,Minimum Flow Requirement,Node,Downstream Flow,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
62,m^3,,Lumped,,Minimum Flow Requirement: Pike Minimum Flow: Downstream Flow Volume,Pike Minimum Flow,Downstream Flow Volume,Minimum Flow Requirement,Node,Downstream Flow Volume,3f0c9f41-7dee-4b9a-b856-1a0d7b27f778,
